0,'math0001088','alexander','','brudnyi'
1,'math0001094','ralf','','meyer'
2,'math0001094','ralf','','meyer'
3,'math0001094','ralf','','meyer'
4,'math0001094','ralf','','meyer'
5,'math0001094','ralf','','meyer'
6,'math0001094','ralf','','meyer'
7,'math0001094','ralf','','meyer'
8,'math0001094','ralf','','meyer'
9,'math0001094','ralf','','meyer'
10,'math0001094','ralf','','meyer'
11,'math0001094','ralf','','meyer'
12,'math0001087','jie','','wu'
13,'math0001087','jie','','wu'
14,'math0001087','jie','','wu'
15,'math0001087','jie','','wu'
16,'math0001087','jie','','wu'
17,'math0001087','jie','','wu'
18,'math0001087','jie','','wu'
19,'math0001087','jie','','wu'
20,'math0001087','jie','','wu'
21,'math0001087','jie','','wu'
22,'math0001087','jie','','wu'
23,'math0001087','jie','','wu'
24,'math0001087','jie','','wu'
25,'math0001087','jie','','wu'
26,'math0001087','jie','','wu'
27,'math0001087','jie','','wu'
28,'math0001087','jie','','wu'
29,'math0001087','jie','','wu'
30,'math0001087','jie','','wu'
31,'math0001084','mercedes','h','rosas'
32,'math0001084','mercedes','h','rosas'
33,'math0001084','mercedes','h','rosas'
34,'math0001084','mercedes','h','rosas'
35,'math0001084','mercedes','h','rosas'
36,'math0001084','mercedes','h','rosas'
37,'math0001084','mercedes','h','rosas'
38,'math0001084','mercedes','h','rosas'
39,'math0001084','mercedes','h','rosas'
40,'math0001084','mercedes','h','rosas'
41,'math0001082','michel','','lassalle'
41,'math0001082','alain','','lascoux'
42,'math0001082','michel','','lassalle'
42,'math0001082','alain','','lascoux'
43,'math0001082','michel','','lassalle'
43,'math0001082','alain','','lascoux'
44,'math0001082','michel','','lassalle'
44,'math0001082','alain','','lascoux'
45,'math0001082','michel','','lassalle'
45,'math0001082','alain','','lascoux'
46,'math0001082','michel','','lassalle'
46,'math0001082','alain','','lascoux'
47,'math0001083','a','','sudbery'
47,'math0001083','c','h','barton'
48,'math0001083','a','','sudbery'
48,'math0001083','c','h','barton'
49,'math0001083','a','','sudbery'
49,'math0001083','c','h','barton'
50,'math0001083','a','','sudbery'
50,'math0001083','c','h','barton'
51,'math0001083','a','','sudbery'
51,'math0001083','c','h','barton'
52,'math0001083','a','','sudbery'
52,'math0001083','c','h','barton'
53,'math0001083','a','','sudbery'
53,'math0001083','c','h','barton'
54,'math0001083','a','','sudbery'
54,'math0001083','c','h','barton'
55,'math0001083','a','','sudbery'
55,'math0001083','c','h','barton'
56,'math0001080','r','r','zapatrin'
57,'math0001080','r','r','zapatrin'
58,'math0001080','r','r','zapatrin'
59,'math0001080','r','r','zapatrin'
60,'math0001080','r','r','zapatrin'
61,'math0001080','r','r','zapatrin'
62,'math0001081','alexander','','golubev'
63,'math0001081','alexander','','golubev'
64,'math0001081','alexander','','golubev'
65,'math0001081','alexander','','golubev'
66,'math0001081','alexander','','golubev'
67,'math0001081','alexander','','golubev'
68,'math0001081','alexander','','golubev'
69,'math0001132','igor','','belegradek'
70,'math0001132','igor','','belegradek'
71,'math0001132','igor','','belegradek'
72,'math0001132','igor','','belegradek'
73,'math0001132','igor','','belegradek'
74,'math0001132','igor','','belegradek'
75,'math0001132','igor','','belegradek'
76,'math0001132','igor','','belegradek'
77,'math0001132','igor','','belegradek'
78,'math0001132','igor','','belegradek'
79,'math0001132','igor','','belegradek'
80,'math0001132','igor','','belegradek'
81,'math0001132','igor','','belegradek'
82,'math0001132','igor','','belegradek'
83,'math0001132','igor','','belegradek'
84,'math0001132','igor','','belegradek'
